"Unique ID";"Name";"Nation";"Division";"Rep";"Av Age";"Balance";"Trn Budget S";"Trn Budget R";"Wage Budget";"Status";"TF";"YF";"JC";"Stad Cap";"Av Att";"Rating";"Pot Rating"
"301.260";"15 de Novembro";"Brazil";"Eerste klasse A";"400";"0,0";"0";"0";"0";"0";"Professional";"9";"5";"5";"2.000";"1.500";"0,0%";"0,0%"
"314.592";"1º de Maio";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"650";"34,5";"0";"0";"0";"0";"Professional";"5";"2";"4";"3.118";"800";"10,9%";"11,0%"
"301.242";"4 de Julho";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.450";"32,0";"0";"0";"0";"0";"Professional";"2";"2";"2";"8.000";"1.100";"5,8%";"5,8%"
"19.296.881";"5 de Agosto (PB)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"19.337.242";"7 de Abril";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"750";"0,0";"0";"0";"0";"0";"Professional";"5";"4";"4";"6.300";"100";"0,0%";"0,0%"
"309.738";"9° Reg. Infantaria";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"309.752";"AA da Bahia (BA)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"302.139";"AA Palmeiras (SP)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"313.581";"AA Rodoviária";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
"311.841";"AA São Bento (SP)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"2";"1";"1";"0";"250";"0,0%";"0,0%"
"107.205";"ABC";"Brazil";"Brasileirão Série B Betano";"5.000";"30,3";"27.540";"0";"0";"9.850";"Professional";"9";"7";"7";"15.082";"3.534";"66,3%";"68,7%"
"2.000.136.192";"ABD FC";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"450";"0,0";"0";"0";"0";"0";"Professional";"4";"4";"3";"4.000";"200";"0,0%";"0,0%"
"19.337.749";"ABECAT";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"950";"0,0";"0";"0";"0";"0";"Professional";"5";"6";"6";"1.000";"100";"0,0%";"0,0%"
"19.342.404";"Academia (MT)";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"1.150";"29,0";"0";"0";"0";"0";"Professional";"5";"6";"6";"16.000";"200";"44,2%";"46,3%"
"19.056.649";"Ação";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"900";"0,0";"0";"0";"0";"0";"Professional";"5";"2";"4";"4.500";"600";"0,0%";"0,0%"
"301.240";"AD Vitória (PE)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"3";"2";"2";"10.911";"600";"0,0%";"0,0%"
"318.875";"ADAP";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Professional";"10";"8";"6";"2.500";"4.672";"0,0%";"0,0%"
"313.242";"ADESG";"Brazil";"Clubes Sem Divisão Nacional/Fora da Série D";"850";"23,0";"0";"0";"0";"0";"Professional";"8";"3";"6";"2.000";"1.500";"11,6%";"13,0%"
"312.330";"Adolpho Konder (SC)";"Brazil";"Eerste klasse A";"1";"0,0";"0";"0";"0";"0";"Semi-Professional";"3";"2";"1";"0";"250";"0,0%";"0,0%"
