Unique ID;Name;Division;UF
301.260;15 de Novembro;Sem divisão nacional;RS
314.592;1º de Maio;Sem divisão nacional;PE
301.242;4 de Julho;Sem divisão nacional;PI
19.296.881;5 de Agosto (PB);Sem divisão nacional;PB
19.337.242;7 de Abril;Sem divisão nacional;RJ
309.738;9° Reg. Infantaria;Sem divisão nacional;RS
309.752;AA da Bahia (BA);Sem divisão nacional;BA
302.139;AA Palmeiras (SP);Sem divisão nacional;SP
313.581;AA Rodoviária;Sem divisão nacional;AM
311.841;AA São Bento (SP);Sem divisão nacional;SP
107.205;ABC;Brasileirão Série B Betano;RN
2.000.136.192;ABD FC;Sem divisão nacional;GO
19.337.749;ABECAT;Sem divisão nacional;GO
19.342.404;Academia (MT);Sem divisão nacional;MT
19.056.649;Ação;Sem divisão nacional;MT
301.240;AD Vitória (PE);Sem divisão nacional;PE
318.875;ADAP;Sem divisão nacional;PR
313.242;ADESG;Sem divisão nacional;AC
312.330;Adolpho Konder (SC);Sem divisão nacional;SC
19.253.694;Afogados;Sem divisão nacional;PE
309.616;AGA;Sem divisão nacional;PE
19.334.270;Agrimaq;Sem divisão nacional;AL
19.200.887;Água Santa;Sem divisão nacional;SP
309.778;Água Verde;Sem divisão nacional;PR
2.000.320.598;Águia de Cumaru;Sem divisão nacional;PE
308.939;Águia de Marabá;Brasileirão Série D;PA
314.963;Águia Negra;Sem divisão nacional;MS
19.009.976;Aimoré;Brasileirão Série D;RS
2.000.135.794;Albion (SP);Sem divisão nacional;SP
301.257;Alecrim;Sem divisão nacional;RN
310.389;Alegrense;Sem divisão nacional;ES
313.440;Alexandria (AL);Sem divisão nacional;AL
301.105;Aliança (AP);Sem divisão nacional;AP
19.165.042;Aliança Atlética;Sem divisão nacional;CE
312.328;Almirante Barroso [EXT];Sem divisão nacional;SC
2.000.152.147;Altamira (PA);Sem divisão nacional;PA
19.273.578;Altos (PI);Brasileirão Série C;PI
19.339.649;Alves Nogueira;Sem divisão nacional;MG
19.005.327;Alves Nogueira (MG);Sem divisão nacional;MG
313.333;Alvorada (TO);Sem divisão nacional;TO
313.315;Amadense;Sem divisão nacional;SE
313.253;Amapá;Sem divisão nacional;AP
19.398.655;Amazonas;Brasileirão Série C;AM
2.000.122.197;Amazônia IFC;Sem divisão nacional;PA
313.380;América (AC);Sem divisão nacional;AC
308.384;América (AM);Sem divisão nacional;AM
313.263;América (CE);Sem divisão nacional;CE
314.317;América (ES);Sem divisão nacional;ES
314.942;América (GO);Sem divisão nacional;GO
107.201;América (MG);Brasileirão Assaí;MG
314.312;América (PB);Sem divisão nacional;PB
303.013;América (PE);Sem divisão nacional;PE
900.996;America (RJ);Sem divisão nacional;RJ
107.203;América (RN);Brasileirão Série C;RN
309.757;América (SC);Sem divisão nacional;SC
301.333;América (SP);Sem divisão nacional;SP
314.971;América de Caaporã;Sem divisão nacional;PB
19.367.841;América de Pedrinhas;Sem divisão nacional;SE
314.297;América de Propriá;Sem divisão nacional;SE
