1937;;1959;;1960;;1961;;1962;;1963;;1964;;1965;;1966;;1967;
Colocações finais;;Colocações finais;;Colocações finais;;Campeão;Santos (1º título);Campeão;Santos (2º título);Campeão;Santos (3º título);Campeão;Santos (4º título);Colocações finais;;Colocações finais;;Campeão;Palmeiras (2º título)
Campeão;Atlético Mineiro (1º título);Campeão;Bahia (1º título);Campeão;Palmeiras (1º título);Vice-campeão;Bahia;Vice-campeão;Botafogo;Vice-campeão;Bahia;Vice-campeão;Flamengo;Campeão;Santos (5º título);Campeão;Cruzeiro (1º título);Vice-campeão;Internacional
Vice-campeão;Fluminense;Vice-campeão;Santos;Vice-campeão;Fortaleza;Estatísticas;;Estatísticas;;Estatísticas;;Estatísticas;;Vice-campeão;Vasco da Gama;Vice-campeão;Santos;Estatísticas;
3.º colocado;Rio Branco;Estatísticas;;Estatísticas;;Melhor marcador;Pelé (Santos) – 7 gols;Melhor marcador;Araponga (Campinense) – 8 gols;Melhor marcador;Ruiter (Confiança) – 9 go;Melhor marcador;Gildo (Ceará) - 8 gols;Estatísticas;;Estatísticas;;Melhor marcador;15 gols:
4.º colocado;Portuguesa;Melhor marcador;Léo Briglia (Bahia);Melhor marcador;Bececê (Fortaleza) – 7 gols;1969;;1970;;1971;;1972;;Melhor marcador;Alcindo (Grêmio) – 10 gols;Melhor marcador;10 gols:;;César Maluco (Palmeiras)
Estatísticas;;1968;;1968;;Colocações finais;;Colocações finais;;Colocações finais;;Colocações finais;;1973;;;Bita (Náutico);;Ademar (Flamengo)
Melhor marcador;Paulista (Atlético Mineiro) – 8 gols;Campeão;Botafogo (1º título);Colocações finais;;Campeão;Palmeiras (4º título);Campeão;Fluminense (1º título);Campeão;Atlético Mineiro (2º título);Campeão;Palmeiras (5º título);Colocações finais;;;Toninho Guerreiro (Santos);Melhor ataque (fase inicial);Palmeiras – 31 gols
1967;;Vice-campeão;Fortaleza;Campeão;Santos (6º título);Vice-campeão;Cruzeiro;Vice-campeão;Palmeiras;Vice-campeão;São Paulo;Vice-campeão;Botafogo;Campeão;Palmeiras (6º título);1974;;Melhor defesa (fase inicial);Grêmio – 11 gols
Colocações finais;;Estatísticas;;Vice-campeão;Internacional;Estatísticas;;Estatísticas;;3.º colocado;Botafogo;3.º colocado;Internacional;Vice-campeão;São Paulo;Colocações finais;;1975;
Campeão;Palmeiras (3º título);Melhor marcador;Ferretti (Botafogo) – 7 gols;Estatísticas;;Melhor marcador;Edu (America-RJ) – 14 gols;Melhor marcador;Tostão (Cruzeiro) – 12 gols (competição) - Claudiomiro (Internacional) e Flávio (Fluminense) - 11 gols (fase inicial);4.º colocado;Corinthians;4.º colocado;Corinthians;3.º colocado;Cruzeiro;Campeão;Vasco da Gama (1º título);Colocações finais;
