1989;;;Colocações finais;;1990;;;;;1991;;;;;1992;;;;;1993;;;;;1994;;;;;;;;;
Estado;Equipe;Como se classificou;Campeão;Grêmio (1º título);Estado;Equipe;Como se Classificou;Colocações finais;;Estado;Equipe;Como se Classificou;Colocações finais;;Estado;Equipe;Como se classificou;Colocações finais;;Estado;Equipe;Como se Classificou;Colocações finais;;Estado;Equipe;Como se Classificou;Colocações finais;;;;;;
 Alagoas;CSA;Campeão do Estadual 1988;Vice-campeão;Sport; Acre;Juventus-AC;Campeão do Estadual 1989;Campeão;Flamengo (1º título); Acre;Rio Branco;Campeão do Estadual 1990;Campeão;Criciúma (1º título); Acre;Atlético Acreano;Campeão do Estadual 1991;Campeão;Internacional (1º título); Acre;Rio Branco;Campeão do Estadual 1992;Campeão;Cruzeiro (1º título); Acre;Independência;Campeão do Estadual 1993;Campeão;Grêmio (2º título);;;;;
 Amazonas;Rio Negro-AM;Campeão do Estadual 1988;Estatísticas;; Alagoas;Capelense;Campeão do Estadual 1989;Vice-campeão;Goiás; Alagoas;CSA;Campeão do Estadual 1990;Vice-campeão;Grêmio; Alagoas;CSA;Campeão do Estadual 1991;Vice-campeão;Fluminense; Alagoas;CRB;Campeão do Estadual 1992;Vice-campeão;Grêmio; Alagoas;CRB;Campeão do Estadual 1993;Vice-campeão;Ceará;;;;;
 Bahia;Bahia;Campeão do Estadual 1988;Melhor marcador;Gérson (Atlético Mineiro) – 7 gols; Amazonas;Rio Negro-AM;Campeão do Estadual 1989;Estatísticas;; Amazonas;Rio Negro-AM;Campeão do Estadual 1990;Estatísticas;; Amapá;Amapá;Campeão do Estadual 1991;Estatísticas;; Amapá;Trem;Campeão do Estadual 1992;Estatísticas;; Amapá;São José-AP;Campeão do Estadual 1993;Estatísticas;;;;;;
;Vitória;Vice-campeão do Estadual 1988;Maior goleada;Atlético Mineiro 7–0 América de Natal; Bahia;Vitória;Campeão do Estadual 1989;Melhor marcador;Bizu (Náutico) – 7 gols; Bahia;Vitória;Campeão do Estadual 1990;Melhor marcador;Gérson (Atlético Mineiro) – 6 gols; Amazonas;Nacional-AM;Campeão do Estadual 1991;Melhor marcador;Gérson (Internacional) – 9 gols; Amazonas;Sul América;Campeão do Estadual 1992;Melhor marcador;Gílson (Grêmio) – 8 gols; Amazonas;Nacional-AM;Campeão do Estadual 1993;Melhor marcador;Paulinho McLaren (Internacional) – 6 gols;;;;;
 Ceará;Ferroviário;Campeão do Estadual 1988;(diferença);;;Bahia;Vice-campeão do Estadual 1989;Maiores goleadas;Atlético Mineiro 5–0 Vila Nova;;Fluminense de Feira;Vice-campeão do Estadual 1990;Maior goleada;Atlético Mineiro 11 – 0 Caiçara; Bahia;Bahia;Campeão do Estadual 1991;Maiores goleadas;Internacional 5–0 Muniz Freire; Bahia;Vitória;Campeão do Estadual 1992;Maior goleada;Internacional 9–1 Ji-Paraná; Bahia;Bahia;Campeão do Estadual 1993;Maior goleada;Vitória 4 – 0 Sorriso;;;;;
;Fortaleza;Vice-campeão do Estadual 1988;;; Ceará;Ceará;Campeão do Estadual 1989;(diferença);Estádio Independência, Belo Horizonte; Ceará;Ceará;Campeão do Estadual 1990;(diferença);; Ceará;Fortaleza;Campeão do Estadual 1991;(diferença);Estádio Beira-Rio, Porto Alegre; Ceará;Ceará;Indicado pela Federação Cearense de Futebol;(diferença);;;Vitória;Vice-campeão do Estadual 1993;(diferença);;;;;;
 Distrito Federal;Tiradentes;Campeão do Metropolitano 1988;;; Distrito Federal;Taguatinga;Campeão do Metropolitano 1989;;27 de junho, Primeira fase; Distrito Federal;Gama;Campeão do Metropolitano 1990;;; Distrito Federal;Taguatinga;Campeão do Metropolitano 1991;;11 de agosto, Primeira fase; Distrito Federal;Taguatinga;Campeão do Metropolitano 1992;;; Ceará;Ceará;Campeão do Estadual 1993;;;;;;;
 Espírito Santo;Ibiraçu;Campeão do Estadual 1988;;; Espírito Santo;Desportiva Ferroviária;Campeão do Estadual 1989;;; Espírito Santo;Colatina;Campeão do Estadual 1990;;; Espírito Santo;Muniz Freire;Campeão do Estadual 1991;;; Espírito Santo;Desportiva Ferroviária;Campeão do Estadual 1992;;; Distrito Federal;Taguatinga;Campeão do Metropolitano 1993;;;;;;;
 Goiás;Atlético Goianiense;Campeão do Estadual 1988;;; Goiás;Goiás;Campeão do Estadual 1989;;Goiás 5–0 Operário-MS; Goiás;Goiás;Campeão do Estadual 1990;;; Goiás;Goiás;Campeão do Estadual 1991;;Vasco da Gama 5–0 Nacional-AM; Goiás;Goiatuba;Campeão do Estadual 1992;;; Espírito Santo;Linhares EC;Campeão do Estadual 1993;;;;;;;
;Goiás;Vice-campeão do Estadual 1988;;;;Vila Nova;Vice-campeão do Estadual 1989;;;;Goiânia;Vice-campeão do Estadual 1990;;; Maranhão;Sampaio Corrêa;Campeão do Estadual 1991;;Estádio São Januário, Rio de Janeiro; Maranhão;Sampaio Corrêa;Campeão do Estadual 1992;;; Goiás;Vila Nova;Campeão do Estadual 1993;;;;;;;
 Maranhão;Sampaio Corrêa;Campeão do Estadual 1988;;; Maranhão;Moto Club;Campeão do Estadual 1989;;; Maranhão;Sampaio Corrêa;Campeão do Estadual 1990;;; Mato Grosso;Juventude-MT;Campeão do Estadual 1991;;; Mato Grosso;Sorriso;Campeão do Estadual 1992;;; Maranhão;Maranhão;Campeão do Estadual 1993;;;;;;;
 Mato Grosso;Mixto;Campeão do Estadual 1988;;; Mato Grosso;Mixto;Campeão do Estadual 1989;;; Mato Grosso;União Rondonópolis;Campeão do Estadual 1990;;; Mato Grosso do Sul;Operário-MS;Campeão do Estadual 1991;;Juventude-MT 0–5 Criciúma; Mato Grosso do Sul;Operário-MS;Campeão do Estadual 1992;;; Mato Grosso;Sorriso;Campeão do Estadual 1993;;;;;;;
 Mato Grosso do Sul;Operário-MS;Campeão do Estadual 1988;;; Mato Grosso do Sul;Operário-MS;Campeão do Estadual 1989;;; Mato Grosso do Sul;Ubiratan;Campeão do Estadual 1990;;; Minas Gerais;Atlético Mineiro;Campeão do Estadual 1991;;; Minas Gerais;Cruzeiro;Campeão do Estadual 1992;;; Mato Grosso do Sul;Comercial-MS;Campeão do Estadual 1993;;;;;;;
 Minas Gerais;Atlético Mineiro;Campeão do Estadual 1988;;; Minas Gerais;Atlético Mineiro;Campeão do Estadual 1989;;; Minas Gerais;Atlético Mineiro;Campeão do Estadual 1990;;;;Democrata GV;Vice-campeão do Estadual 1991;;;;América Mineiro;Vice-campeão do Estadual 1992;;; Minas Gerais;América Mineiro;Campeão do Estadual 1993;;;;;;;
;Cruzeiro;Vice-campeão do Estadual 1988;;;;Cruzeiro;Vice-campeão do Estadual 1989;;;;Cruzeiro;Vice-campeão do Estadual 1990;;; Pará;Remo;Campeão do Estadual 1991;;; Pará;Paysandu;Campeão do Estadual 1992;;;;Atlético Mineiro;Vice-campeão do Estadual 1993;;;;;;;
 Pará;Paysandu;Campeão do Estadual 1988;;; Pará;Remo;Campeão do Estadual 1989;;; Pará;Remo;Campeão do Estadual 1990;;;;Tuna Luso;Vice-campeão do Estadual 1991;;;;Remo;Vice-campeão do Estadual 1992;;; Pará;Paysandu;Campeão do Estadual 1993;;;;;;;
 Paraíba;Botafogo-PB;Campeão do Estadual 1988;;; Paraíba;Treze;Campeão do Estadual 1989;;;;Paysandu;Vice-campeão do Estadual 1990;;; Paraíba;Campinense;Campeão do Estadual 1991;;; Paraíba;Auto Esporte-PB;Campeão do Estadual 1992;;;;Remo;Vice-campeão do Estadual 1993;;;;;;;
 Paraná;Atlético Paranaense;Campeão do Estadual 1988;;; Paraná;Coritiba;Campeão do Estadual 1989;;; Paraíba;Auto Esporte;Campeão do Estadual 1990;;; Paraná;Paraná;Campeão do Estadual 1991;;; Paraná;Londrina;Campeão do Estadual 1992;;; Paraíba;Campinense;Campeão do Estadual 1993;;;;;;;
;Pinheiros;Vice-campeão do Estadual 1988;;;;União Bandeirante;Vice-campeão do Estadual 1989;;; Paraná;Atlético Paranaense;Campeão do Estadual 1990;;;;Atlético Paranaense;Vice-campeão do Estadual 1991;;;;União Bandeirante;Vice-campeão do Estadual 1992;;; Paraná;Paraná;Campeão do Estadual 1993;;;;;;;
 Pernambuco;Sport;Campeão do Estadual 1988;;; Pernambuco;Náutico;Campeão do Estadual 1989;;;;Coritiba;Vice-campeão do Estadual 1990;;; Pernambuco;Sport;Campeão do Estadual 1991;;; Pernambuco;Sport;Campeão do Estadual 1992;;; Pernambuco;Santa Cruz;Campeão do Estadual 1993;;;;;;;
;Náutico;Vice-campeão do Estadual 1988;;;;Santa Cruz;Vice-campeão do Estadual 1989;;; Pernambuco;Santa Cruz;Campeão do Estadual 1990;;;;Náutico;Vice-campeão do Estadual 1991;;;;Náutico;Vice-campeão do Estadual 1992;;; Piauí;4 de Julho;Campeão do Estadual 1993;;;;;;;
 Piauí;Flamengo-PI;Campeão do Estadual 1988;;; Piauí;River-PI;Campeão do Estadual 1989;;;;Sport;Vice-campeão do Estadual 1990;;; Piauí;Picos;Campeão do Estadual 1991;;; Piauí;4 de Julho;Campeão do Estadual 1992;;; Rio de Janeiro;Vasco da Gama;Campeão do Estadual 1993;;;;;;;
 Rio de Janeiro;Vasco da Gama;Campeão do Estadual 1988;;; Rio de Janeiro;Botafogo;Campeão do Estadual 1989;;; Piauí;Caiçara;Campeão do Estadual 1990;;; Rio de Janeiro;Vasco da Gama;4° colocado do Estadual 1991;;; Rio de Janeiro;Vasco da Gama;Campeão do Estadual 1992;;;;Fluminense;Vice-campeão do Estadual 1993;;;;;;;
;Flamengo;Vice-campeão do Estadual 1988;;;;Flamengo;Vice-campeão do Estadual 1989;;; Rio de Janeiro;Botafogo;Campeão do Estadual 1990;;;;Fluminense;Vice-campeão do Estadual 1991;;;;Flamengo;Vice-campeão do Estadual 1992;;; Rio Grande do Norte;ABC;Campeão do Estadual 1993;;;;;;;
 Rio Grande do Norte;América de Natal;Campeão do Estadual 1988;;; Rio Grande do Norte;América de Natal;Campeão do Estadual 1989;;;;Vasco da Gama;Vice-campeão do Estadual 1990;;; Rio Grande do Norte;América de Natal;Campeão do Estadual 1991;;; Rio Grande do Norte;América de Natal;Campeão do Estadual 1992;;; Rio Grande do Sul;Grêmio;Campeão do Estadual 1993;;;;;;;
 Rio Grande do Sul;Grêmio;Campeão do Estadual 1988;;; Rio Grande do Sul;Grêmio;Campeão do Estadual 1989;;; Rio Grande do Norte;ABC;Campeão do Estadual 1990;;; Rio Grande do Sul;Internacional;Campeão do Estadual 1991;;; Rio Grande do Sul;Internacional;Campeão do Estadual 1992;;;;Internacional;Vice-campeão do Estadual 1993;;;;;;;
;Internacional;Vice-campeão do Estadual 1988;;;;Internacional;Vice-campeão do Estadual 1989;;; Rio Grande do Sul;Grêmio;Campeão do Estadual 1990;;;;Grêmio;Vice-campeão do Estadual 1991;;;;Grêmio;Vice-campeão do Estadual 1992;;; Rondônia;Ariquemes;Campeão do Estadual 1993;;;;;;;
 São Paulo;Corinthians;Campeão do Estadual 1988;;; São Paulo;São Paulo;Campeão do Estadual 1989;;;;Caxias;Vice-campeão do Estadual 1990;;; Rondônia;Ji-Paraná;Campeão do Estadual 1991;;; Rondônia;Ji-Paraná;Campeão do Estadual 1992;;; São Paulo;Palmeiras;Campeão do Estadual 1993;;;;;;;
;Guarani;Vice-campeão do Estadual 1988;;;;São José-SP;Vice-campeão do Estadual 1989;;; São Paulo;Corinthians;Campeão da primeira fase do Estadual 1990 (Grupo A);;; São Paulo;Corinthians;Vice-campeão do Estadual 1991;;; São Paulo;São Paulo;Campeão do Estadual 1992;;;;Corinthians;Vice-campeão do Estadual 1993;;;;;;;
 Santa Catarina;Avaí;Campeão do Estadual 1988;;; Santa Catarina;Criciúma;Campeão do Estadual 1989;;;;XV de Piracicaba;Campeão da primeira fase do Estadual 1990 (Grupo B);;;;Palmeiras;3° colocado do Estadual 1991;;;;Palmeiras;Vice-campeão do Estadual 1992;;; Santa Catarina;Criciúma;Campeão do Estadual 1993;;;;;;;
;Blumenau;Vice-campeão do Estadual 1988;;;;Joinville;Vice-campeão do Estadual 1989;;; Santa Catarina;Criciúma;Campeão do Estadual 1990;;; Santa Catarina;Criciúma;Campeão do Estadual 1991;;; Santa Catarina;Brusque;Campeão do Estadual 1992;;; Sergipe;Sergipe;Campeão do Estadual 1993;;;;;;;
 Sergipe;Confiança;Campeão do Estadual 1988;;; Sergipe;Sergipe;Campeão do Estadual 1989;;; Sergipe;Confiança;Campeão do Estadual 1990;;; Sergipe;Sergipe;Campeão do Estadual 199;;; Sergipe;Sergipe;Campeão do Estadual 1992;;; Tocantins;Kaburé;Campeão da Copa Tocantins 1993;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;;;;;1996;;;;1997;;;;;;;;1998;;;;1999;;;;;2000;;;;;;;;
