1981;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;Campeão; Olaria (1ª título);;;;;;;;;;;;
1; Olaria;19;10;6;1;3;14;6;8;Vice-campeão; Santo Amaro;;;;;;;;;;;;
2; Santo Amaro;19;10;5;4;1;11;9;2;Estatísticas;;;;;;;;;;;;;
3; Dom Bosco;13;8;3;4;1;11;9;2;Melhor marcador;Müller (São Borja) e Fabinho (Santo Amaro) – 5 gols[1];;;;;;;;;;;;
4; Guarani-MG;13;8;4;1;3;9;9;0;Melhor ataque (fase inicial);Olaria – 14 gols;;;;;;;;;;;;
5; São Borja;12;8;3;3;2;10;5;5;Melhor defesa (fase inicial);Capelense - 0 gols;;;;;;;;;;;;
6; Izabelense;10;8;2;4;2;9;9;0;Maior goleada;Piauí  5–0  Moto Club;;;;;;;;;;;;
7; Baraúnas;7;4;2;1;1;5;3;2;(diferença);Estádio Albertão, Teresina;;;;;;;;;;;;
8; Figueirense;7;4;2;1;1;2;3;-1;;;;;;;;;;;;;;
9; Paranavaí;6;4;2;0;2;6;4;2;;;;;;;;;;;;;;
10; Atlético de Alagoinhas;5;4;1;2;1;3;3;0;;;;;;;;;;;;;;
11; Piauí;4;4;1;1;2;5;2;3;;;;;;;;;;;;;;
12; Itumbiara;4;4;1;1;2;5;5;0;;;;;;;;;;;;;;
13; América-AM;3;2;1;0;1;4;4;0;;;;;;;;;;;;;;
14; Taguatinga;3;2;1;0;1;1;3;-2;;;;;;;;;;;;;;
15; Moto Clube;3;2;1;0;1;1;5;-4;;;;;;;;;;;;;;
16; Capelense;2;2;0;2;0;0;0;0;;;;;;;;;;;;;;
17; Auto Esporte;1;2;0;1;1;3;4;-1;;;;;;;;;;;;;;
18; Corumbaense;1;2;0;1;1;3;4;-1;;;;;;;;;;;;;;
19; Matsubara;1;2;0;1;1;0;1;-1;;;;;;;;;;;;;;
20; Colatina;1;2;0;1;1;2;4;-2;;;;;;;;;;;;;;
21; Joaçaba;1;2;0;1;1;1;3;-2;;;;;;;;;;;;;;
22; Sergipe;0;2;0;0;2;1;3;-2;;;;;;;;;;;;;;
23; Icasa;0;2;0;0;2;1;4;-3;;;;;;;;;;;;;;
24; Madureira;0;2;0;0;2;1;6;-4;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1988;;;;;;;;;;;;;;;;;;;;;;;
Tabela de classificação[1];;;;;;;;;;Colocações finais;;;;;;;;;;;;;
C.;Time;Pts;J;V;E;D;GP;GC;SG;Campeão;União São João;;;;;;;;;;;;
1; União São João;33;18;10;2;6;23;13;10;Vice-campeão;Esportivo de Passos;;;;;;;;;;;;
2; Esportivo de Passos;31;18;9;2;7;24;11;13;Estatísticas;;;;;;;;;;;;;
3; Botafogo-PB;34;16;11;0;4;23;16;7;Melhor marcador;Não reconhecido[nota 1];;;;;;;;;;;;
4; Marcílio Dias;32;16;12;0;4;19;14;5;Maiores goleadas;Guarany de Cruz Alta 1–5 Iguaçu;;;;;;;;;;;;
5; Tiradentes-DF;32;16;11;0;5;24;16;8;(diferença);23 de outubro, 1ª fase;;;;;;;;;;;;
6; Lagarto EC;21;12;8;0;4;10;13;-3;;;;;;;;;;;;;;
7; ABC;23;12;8;0;4;14;13;1;;Campinense 5–1 ABC;;;;;;;;;;;;
8; Santo André;23;12;7;0;5;14;7;7;;Estádio Amigão, Campina Grande;;;;;;;;;;;;
9; Blumenau;22;12;8;0;4;16;11;5;;30 de novembro, 2ª fase[2];;;;;;;;;;;;
10; Volta Redonda;22;12;8;0;4;12;11;1;;;;;;;;;;;;;;
11; Porto Alegre;20;12;8;0;4;13;13;0;;;;;;;;;;;;;;
12; Anápolis;19;12;7;0;5;11;11;0;;;;;;;;;;;;;;
13; Campinense;19;12;6;0;6;21;16;5;;;;;;;;;;;;;;
14; Ferroviária;17;10;6;0;4;9;7;2;;;;;;;;;;;;;;
15; Desportiva Ferroviária;17;12;6;0;6;14;15;-1;;;;;;;;;;;;;;
16; Figueirense;17;12;6;0;6;9;11;-2;;;;;;;;;;;;;;
17; Brusque;16;12;5;0;7;8;11;-3;;;;;;;;;;;;;;
18; Paulistano;14;12;7;0;5;16;15;1;;;;;;;;;;;;;;
19; Novorizontino;14;10;5;0;5;8;8;0;;;;;;;;;;;;;;
20; Comercial-MS;14;10;5;0;5;6;8;-2;;;;;;;;;;;;;;
21; Sergipe;14;10;4;0;6;12;9;3;;;;;;;;;;;;;;
22; Ubiratan;14;10;4;0;6;9;9;0;;;;;;;;;;;;;;
