competicao;ano;campeao;vice
copa_do_brasil;1989;Grêmio;Sport
copa_do_brasil;1990;Flamengo;Goiás
copa_do_brasil;1991;Criciúma;Grêmio
copa_do_brasil;1992;Internacional;Fluminense
copa_do_brasil;1993;Cruzeiro;Grêmio
copa_do_brasil;1994;Grêmio;Ceará
copa_do_brasil;1995;Corinthians;Grêmio
copa_do_brasil;1996;Cruzeiro;Palmeiras
copa_do_brasil;1997;Grêmio;Flamengo
copa_do_brasil;1998;Palmeiras;Cruzeiro
copa_do_brasil;1999;Juventude;Botafogo
copa_do_brasil;2000;Cruzeiro;São Paulo
copa_do_brasil;2001;Grêmio;Corinthians
copa_do_brasil;2002;Corinthians;Brasiliense
copa_do_brasil;2003;Cruzeiro;Flamengo
copa_do_brasil;2004;Santo André;Flamengo
copa_do_brasil;2005;Paulista;Fluminense
copa_do_brasil;2006;Flamengo;Vasco da Gama
copa_do_brasil;2007;Fluminense;Figueirense
copa_do_brasil;2008;Sport;Corinthians
copa_do_brasil;2009;Corinthians;Internacional
copa_do_brasil;2010;Santos Alagoas;Vitória
copa_do_brasil;2011;Vasco da Gama;Coritiba
copa_do_brasil;2012;Palmeiras;Coritiba
copa_do_brasil;2013;Flamengo;Atlético Paranaense
copa_do_brasil;2014;Atlético Mineiro;Cruzeiro
copa_do_brasil;2015;Palmeiras;Santos
copa_do_brasil;2016;Grêmio;Atlético Mineiro
copa_do_brasil;2017;Cruzeiro;Flamengo
copa_do_brasil;2018;Cruzeiro;Corinthians
copa_do_brasil;2019;Athletico Paranaense;Internacional
copa_do_brasil;2020;Palmeiras;Grêmio
copa_do_brasil;2021;Atlético Mineiro;Athletico Paranaense
copa_do_brasil;2022;Flamengo;Corinthians
copa_do_brasil;2023;São Paulo;Flamengo
copa_do_brasil;2024;Flamengo;Atlético Mineiro
copa_do_brasil;2025;Corinthians;Vasco da Gama
