competicao;ano;posicao;n_clubes;nome;pts;j;v;e;d;gp;gc;sg;fonte_url
serie_a;2003;1;24;Cruzeiro;100;46;31;7;8;102;47;+55;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;2;24;Santos;87;46;25;12;9;93;60;+33;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;3;24;São Paulo;78;46;22;12;12;81;67;+14;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;4;24;São Caetano;742;46;19;14;13;53;37;+16;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;5;24;Coritiba;73;46;21;10;15;67;58;+9;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;6;24;Internacional;721;46;20;10;16;59;57;+2;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;7;24;Atlético Mineiro;72;46;19;15;12;76;62;+14;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;8;24;Flamengo;66;46;18;12;16;66;73;-7;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;9;24;Goiás;65;46;18;11;17;78;63;+15;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;10;24;Paraná;65;46;18;11;17;85;75;+10;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;11;24;Figueirense;65;46;17;14;15;62;54;+8;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;12;24;Atlético Paranaense;61;46;17;10;19;67;72;-5;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;13;24;Guarani;61;46;17;10;19;64;72;-8;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;14;24;Criciúma;60;46;17;9;20;57;69;-12;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;15;24;Corinthians;592;46;15;12;19;61;63;-2;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;16;24;Vitória;56;46;15;11;20;50;64;-14;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;17;24;Vasco da Gama;54;46;13;15;18;57;69;-12;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;18;24;Juventude;531;46;12;14;20;55;70;-15;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;19;24;Fluminense;522;46;13;11;22;52;77;-25;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;20;24;Grêmio;50;46;13;11;22;54;68;-12;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;21;24;Ponte Preta;5012;46;11;18;17;63;73;-10;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;22;24;Paysandu;492;46;15;12;19;74;77;-3;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;23;24;Fortaleza;49;46;12;13;21;58;74;-16;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2003;24;24;Bahia;46;46;12;10;24;59;92;-33;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2003
serie_a;2004;1;24;Santos;89;46;27;8;11;103;58;+45;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;2;24;Atlético Paranaense;86;46;25;11;10;93;56;+37;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;3;24;São Paulo;82;46;24;10;12;78;43;+35;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;4;24;Palmeiras;79;46;22;13;11;72;47;+25;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;5;24;Corinthians;74;46;20;14;12;54;54;0;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;6;24;Goiás;72;46;21;9;16;81;68;+13;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;7;24;Juventude;70;46;20;10;16;60;66;-6;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;8;24;Internacional;67;46;20;7;19;66;59;+7;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;9;24;Fluminense;67;46;18;13;15;65;68;-3;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;10;24;Ponte Preta;64;46;19;7;20;43;73;-30;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;11;24;Figueirense;63;46;17;12;17;57;59;-2;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;12;24;Coritiba;62;46;15;17;14;53;48;+5;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;13;24;Cruzeiro;56;46;16;8;22;69;81;-12;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;14;24;Paysandu;56;46;14;14;18;56;76;-20;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;15;24;Paraná;54;46;15;9;22;52;73;-21;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;16;24;Vasco da Gama;54;46;14;12;20;64;68;-4;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;17;24;Flamengo;54;46;13;15;18;51;53;-2;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;18;24;São Caetano;53;46;23;8;15;65;49;+16;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;19;24;Atlético Mineiro;53;46;12;17;17;60;66;-6;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;20;24;Botafogo;51;46;11;18;17;62;71;-9;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;21;24;Criciúma;50;46;13;11;22;61;78;-17;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;22;24;Guarani;49;46;11;16;19;43;55;-12;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;23;24;Vitória;48;46;13;9;24;68;87;-19;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2004;24;24;Grêmio;39;46;9;12;25;60;80;-20;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2004
serie_a;2005;1;22;Corinthians;81;42;24;9;9;87;59;+28;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;2;22;Internacional;78;42;23;9;10;72;49;+23;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;3;22;Goiás;74;42;22;8;12;68;51;+17;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;4;22;Palmeiras;70;42;20;10;12;81;65;+16;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;5;22;Fluminense;68;42;19;11;12;79;70;+9;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;6;22;Atlético Paranaense;61;42;18;7;17;76;67;+9;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;7;22;Paraná;61;42;17;10;15;59;51;+8;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;8;22;Cruzeiro;60;42;17;9;16;73;72;+1;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;9;22;Botafogo;59;42;17;8;17;57;56;+1;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;10;22;Santos;59;42;16;11;15;68;71;-3;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;11;22;São Paulo;58;42;16;10;16;77;67;+10;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;12;22;Vasco da Gama;56;42;15;11;16;74;84;-10;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;13;22;Fortaleza;55;42;16;7;19;58;64;-6;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;14;22;Juventude;55;42;15;10;17;66;72;-6;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;15;22;Flamengo;55;42;14;13;15;56;60;-4;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;16;22;Figueirense;53;42;14;11;17;65;72;-7;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;17;22;São Caetano;52;42;14;10;18;54;60;-6;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;18;22;Ponte Preta;51;42;15;6;21;63;80;-17;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;19;22;Coritiba;49;42;13;10;19;51;60;-9;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;20;22;Atlético Mineiro;47;42;13;8;21;54;59;-5;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
serie_a;2005;21;22;Paysandu;41;42;12;5;25;63;92;-29;https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2005
