competicao;ano;posicao;n_clubes;nome;pts;j;v;e;d;gp;gc;sg;fonte_url
serie_b;1971;1;4;Villa Nova;;;;;;;;;
serie_b;1971;2;4;Remo;;;;;;;;;
serie_b;1971;3;4;Itabaiana;;;;;;;;;
serie_b;1971;4;4;Ponte Preta;;;;;;;;;
serie_b;1972;1;4;Sampaio Corrêa;;;;;;;;;
serie_b;1972;2;4;Campinense;;;;;;;;;
serie_b;1972;3;4;Atlético de Alagoinhas;;;;;;;;;
serie_b;1972;4;4;América de Natal;;;;;;;;;
serie_b;1980;1;4;Londrina;;;;;;;;;
serie_b;1980;2;4;CSA;;;;;;;;;
serie_b;1980;3;4;Ferroviária;;;;;;;;;
serie_b;1980;4;4;Botafogo-SP;;;;;;;;;
serie_b;1981;1;4;Guarani;;;;;;;;;
serie_b;1981;2;4;Anapolina;;;;;;;;;
serie_b;1981;3;4;Remo;;;;;;;;;
serie_b;1981;4;4;Comercial-MS;;;;;;;;;
serie_b;1982;1;4;Campo Grande;;;;;;;;;
serie_b;1982;2;4;CSA;;;;;;;;;
serie_b;1982;3;4;Uberaba;;;;;;;;;
serie_b;1982;4;4;Joinville;;;;;;;;;
serie_b;1983;1;4;Juventus-SP;;;;;;;;;
serie_b;1983;2;4;CSA;;;;;;;;;
serie_b;1983;3;4;Joinville;;;;;;;;;
serie_b;1983;4;4;Brasília;;;;;;;;;
serie_b;1984;1;4;Uberlândia;;;;;;;;;
serie_b;1984;2;4;Remo;;;;;;;;;
serie_b;1984;3;4;Inter de Santa Maria;;;;;;;;;
serie_b;1984;4;4;Botafogo-PB;;;;;;;;;
serie_b;1985;1;4;Tuna Luso;;;;;;;;;
serie_b;1985;2;4;Goytacaz;;;;;;;;;
serie_b;1985;3;4;Figueirense;;;;;;;;;
serie_b;1985;4;4;Operário-MS;;;;;;;;;
serie_b;1988;1;4;Inter de Limeira;;;;;;;;;
serie_b;1988;2;4;Náutico;;;;;;;;;
serie_b;1988;3;4;Ponte Preta;;;;;;;;;
serie_b;1988;4;4;Americano;;;;;;;;;
serie_b;1989;1;4;Bragantino;;;;;;;;;
serie_b;1989;2;4;São José-SP;;;;;;;;;
serie_b;1989;3;4;Remo;;;;;;;;;
serie_b;1989;4;4;Catuense;;;;;;;;;
serie_b;1990;1;4;Sport;;;;;;;;;
serie_b;1990;2;4;Athletico Paranaense;;;;;;;;;
serie_b;1990;3;4;Guarani;;;;;;;;;
serie_b;1990;4;4;Catuense;;;;;;;;;
serie_b;1991;1;4;Paysandu;;;;;;;;;
serie_b;1991;2;4;Guarani;;;;;;;;;
serie_b;1991;3;4;Coritiba;;;;;;;;;
serie_b;1991;4;4;Americano;;;;;;;;;
serie_b;1994;1;4;Juventude;;;;;;;;;
serie_b;1994;2;4;Goiás;;;;;;;;;
serie_b;1994;3;4;Desportiva Ferroviária;;;;;;;;;
serie_b;1994;4;4;Americano;;;;;;;;;
serie_b;1995;1;4;Athletico Paranaense;;;;;;;;;
serie_b;1995;2;4;Coritiba;;;;;;;;;
serie_b;1995;3;4;Mogi Mirim;;;;;;;;;
serie_b;1995;4;4;Central;;;;;;;;;
serie_b;1997;1;4;Gama;;;;;;;;;
serie_b;1997;2;4;Botafogo-SP;;;;;;;;;
serie_b;1997;3;4;Desportiva Ferroviária;;;;;;;;;
serie_b;1997;4;4;Londrina;;;;;;;;;
serie_b;1998;1;4;Gama;;;;;;;;;
serie_b;1998;2;4;Botafogo-SP;;;;;;;;;
serie_b;1998;3;4;Desportiva Ferroviária;;;;;;;;;
serie_b;1998;4;4;Londrina;;;;;;;;;
serie_b;1999;1;4;Goiás;;;;;;;;;
serie_b;1999;2;4;Santa Cruz;;;;;;;;;
serie_b;1999;3;4;Bahia;;;;;;;;;
serie_b;1999;4;4;Vila Nova;;;;;;;;;
serie_b;2001;1;4;Paysandu;;;;;;;;;
serie_b;2001;2;4;Figueirense;;;;;;;;;
serie_b;2001;3;4;Caxias;;;;;;;;;
serie_b;2001;4;4;Avaí;;;;;;;;;
serie_b;2002;1;4;Criciúma;;;;;;;;;
serie_b;2002;2;4;Fortaleza;;;;;;;;;
serie_b;2002;3;4;Santa Cruz;;;;;;;;;
serie_b;2002;4;4;Paulista;;;;;;;;;
serie_b;2003;1;4;Palmeiras;;;;;;;;;
serie_b;2003;2;4;Botafogo;;;;;;;;;
serie_b;2003;3;4;Sport;;;;;;;;;
serie_b;2003;4;4;Marília;;;;;;;;;
serie_b;2004;1;4;Brasiliense;;;;;;;;;
serie_b;2004;2;4;Fortaleza;;;;;;;;;
serie_b;2004;3;4;Avaí;;;;;;;;;
serie_b;2004;4;4;Bahia;;;;;;;;;
serie_b;2005;1;4;Grêmio;;;;;;;;;
serie_b;2005;2;4;Santa Cruz;;;;;;;;;
serie_b;2005;3;4;Náutico;;;;;;;;;
serie_b;2005;4;4;Portuguesa;;;;;;;;;
serie_b;2006;1;4;Atlético Mineiro;;;;;;;;;
serie_b;2006;2;4;Sport;;;;;;;;;
serie_b;2006;3;4;Náutico;;;;;;;;;
serie_b;2006;4;4;América de Natal;;;;;;;;;
serie_b;2007;1;4;Coritiba;;;;;;;;;
serie_b;2007;2;4;Ipatinga;;;;;;;;;
serie_b;2007;3;4;Portuguesa;;;;;;;;;
serie_b;2007;4;4;Vitória;;;;;;;;;
serie_b;2008;1;4;Corinthians;;;;;;;;;
serie_b;2008;2;4;Santo André;;;;;;;;;
serie_b;2008;3;4;Avaí;;;;;;;;;
serie_b;2008;4;4;Grêmio Barueri;;;;;;;;;
serie_b;2009;1;4;Vasco da Gama;;;;;;;;;
serie_b;2009;2;4;Guarani;;;;;;;;;
serie_b;2009;3;4;Ceará;;;;;;;;;
serie_b;2009;4;4;Atlético Goianiense;;;;;;;;;
serie_b;2010;1;4;Coritiba;;;;;;;;;
serie_b;2010;2;4;Figueirense;;;;;;;;;
serie_b;2010;3;4;Bahia;;;;;;;;;
serie_b;2010;4;4;América Mineiro;;;;;;;;;
serie_b;2011;1;4;Portuguesa;;;;;;;;;
serie_b;2011;2;4;Náutico;;;;;;;;;
serie_b;2011;3;4;Ponte Preta;;;;;;;;;
serie_b;2011;4;4;Sport;;;;;;;;;
serie_b;2012;1;4;Goiás;;;;;;;;;
serie_b;2012;2;4;Criciúma;;;;;;;;;
serie_b;2012;3;4;Athletico Paranaense;;;;;;;;;
serie_b;2012;4;4;Vitória;;;;;;;;;
serie_b;2013;1;4;Palmeiras;;;;;;;;;
serie_b;2013;2;4;Chapecoense;;;;;;;;;
serie_b;2013;3;4;Sport;;;;;;;;;
serie_b;2013;4;4;Figueirense;;;;;;;;;
serie_b;2014;1;4;Joinville;;;;;;;;;
serie_b;2014;2;4;Ponte Preta;;;;;;;;;
serie_b;2014;3;4;Vasco da Gama;;;;;;;;;
serie_b;2014;4;4;Avaí;;;;;;;;;
serie_b;2015;1;4;Botafogo;;;;;;;;;
serie_b;2015;2;4;Santa Cruz;;;;;;;;;
serie_b;2015;3;4;Vitória;;;;;;;;;
serie_b;2015;4;4;América Mineiro;;;;;;;;;
serie_b;2016;1;4;Atlético Goianiense;;;;;;;;;
serie_b;2016;2;4;Avaí;;;;;;;;;
serie_b;2016;3;4;Vasco da Gama;;;;;;;;;
serie_b;2016;4;4;Bahia;;;;;;;;;
serie_b;2017;1;4;América Mineiro;;;;;;;;;
serie_b;2017;2;4;Internacional;;;;;;;;;
serie_b;2017;3;4;Ceará;;;;;;;;;
serie_b;2017;4;4;Paraná;;;;;;;;;
serie_b;2018;1;4;Fortaleza;;;;;;;;;
serie_b;2018;2;4;CSA;;;;;;;;;
serie_b;2018;3;4;Avaí;;;;;;;;;
serie_b;2018;4;4;Goiás;;;;;;;;;
serie_b;2019;1;4;Bragantino;;;;;;;;;
serie_b;2019;2;4;Sport;;;;;;;;;
serie_b;2019;3;4;Coritiba;;;;;;;;;
serie_b;2019;4;4;Atlético Goianiense;;;;;;;;;
serie_b;2020;1;4;Chapecoense;;;;;;;;;
serie_b;2020;2;4;América Mineiro;;;;;;;;;
serie_b;2020;3;4;Juventude;;;;;;;;;
serie_b;2020;4;4;Cuiabá;;;;;;;;;
serie_b;2021;1;4;Botafogo;;;;;;;;;
serie_b;2021;2;4;Goiás;;;;;;;;;
serie_b;2021;3;4;Coritiba;;;;;;;;;
serie_b;2021;4;4;Avaí;;;;;;;;;
serie_b;2022;1;4;Cruzeiro;;;;;;;;;
serie_b;2022;2;4;Grêmio;;;;;;;;;
serie_b;2022;3;4;Bahia;;;;;;;;;
serie_b;2022;4;4;Vasco da Gama;;;;;;;;;
serie_b;2023;1;4;Vitória;;;;;;;;;
serie_b;2023;2;4;Juventude;;;;;;;;;
serie_b;2023;3;4;Criciúma;;;;;;;;;
serie_b;2023;4;4;Atlético Goianiense;;;;;;;;;
serie_b;2024;1;4;Santos;;;;;;;;;
serie_b;2024;2;4;Mirassol;;;;;;;;;
serie_b;2024;3;4;Sport;;;;;;;;;
serie_b;2024;4;4;Ceará;;;;;;;;;
serie_b;2025;1;4;Coritiba;;;;;;;;;
serie_b;2025;2;4;Athletico Paranaense;;;;;;;;;
serie_b;2025;3;4;Chapecoense;;;;;;;;;
serie_b;2025;4;4;Remo;;;;;;;;;
