competicao;ano;posicao;n_clubes;nome;pts;j;v;e;d;gp;gc;sg;fonte_url
serie_c;1981;1;24;Olaria;19;10;6;1;3;14;6;+8;
serie_c;1981;2;24;Santo Amaro;19;10;5;4;1;11;9;+2;
serie_c;1981;3;24;Dom Bosco;13;8;3;4;1;11;9;+2;
serie_c;1981;4;24;Guarani-MG;13;8;4;1;3;9;9;0;
serie_c;1981;5;24;São Borja;12;8;3;3;2;10;5;+5;
serie_c;1981;6;24;Izabelense;10;8;2;4;2;9;9;0;
serie_c;1981;7;24;Baraúnas;7;4;2;1;1;5;3;+2;
serie_c;1981;8;24;Figueirense;7;4;2;1;1;2;3;-1;
serie_c;1981;9;24;Paranavaí;6;4;2;0;2;6;4;+2;
serie_c;1981;10;24;Atlético de Alagoinhas;5;4;1;2;1;3;3;0;
serie_c;1981;11;24;Piauí;4;4;1;1;2;5;2;+3;
serie_c;1981;12;24;Itumbiara;4;4;1;1;2;5;5;0;
serie_c;1981;13;24;América-AM;3;2;1;0;1;4;4;0;
serie_c;1981;14;24;Taguatinga;3;2;1;0;1;1;3;-2;
serie_c;1981;15;24;Moto Clube;3;2;1;0;1;1;5;-4;
serie_c;1981;16;24;Capelense;2;2;0;2;0;0;0;0;
serie_c;1981;17;24;Auto Esporte;1;2;0;1;1;3;4;-1;
serie_c;1981;18;24;Corumbaense;1;2;0;1;1;3;4;-1;
serie_c;1981;19;24;Matsubara;1;2;0;1;1;0;1;-1;
serie_c;1981;20;24;Colatina;1;2;0;1;1;2;4;-2;
serie_c;1981;21;24;Joaçaba;1;2;0;1;1;1;3;-2;
serie_c;1981;22;24;Sergipe;0;2;0;0;2;1;3;-2;
serie_c;1981;23;24;Icasa;0;2;0;0;2;1;4;-3;
serie_c;1981;24;24;Madureira;0;2;0;0;2;1;6;-5;
serie_c;1988;1;43;União São João;33;18;10;2;6;23;13;+10;
serie_c;1988;2;43;Esportivo de Passos;31;18;9;2;7;24;11;+13;
serie_c;1988;3;43;Botafogo-PB;34;16;11;0;4;23;16;+7;
serie_c;1988;4;43;Marcílio Dias;32;16;12;0;4;19;14;+5;
serie_c;1988;5;43;Tiradentes-DF;32;16;11;0;5;24;16;+8;
serie_c;1988;6;43;Lagarto EC;21;12;8;0;4;10;13;-3;
serie_c;1988;7;43;ABC;23;12;8;0;4;14;13;+1;
serie_c;1988;8;43;Santo André;23;12;7;0;5;14;7;+7;
serie_c;1988;9;43;Blumenau;22;12;8;0;4;16;11;+5;
serie_c;1988;10;43;Volta Redonda;22;12;8;0;4;12;11;+1;
serie_c;1988;11;43;Porto Alegre;20;12;8;0;4;13;13;0;
serie_c;1988;12;43;Anápolis;19;12;7;0;5;11;11;0;
serie_c;1988;13;43;Campinense;19;12;6;0;6;21;16;+5;
serie_c;1988;14;43;Ferroviária;17;10;6;0;4;9;7;+2;
serie_c;1988;15;43;Desportiva Ferroviária;17;12;6;0;6;14;15;-1;
serie_c;1988;16;43;Figueirense;17;12;6;0;6;9;11;-2;
serie_c;1988;17;43;Brusque;16;12;5;0;7;8;11;-3;
serie_c;1988;18;43;Paulistano;14;12;7;0;5;16;15;+1;
serie_c;1988;19;43;Novorizontino;14;10;5;0;5;8;8;0;
serie_c;1988;20;43;Comercial-MS;14;10;5;0;5;6;8;-2;
serie_c;1988;21;43;Sergipe;14;10;4;0;6;12;9;+3;
serie_c;1988;22;43;Ubiratan;14;10;4;0;6;9;9;0;
serie_c;1988;23;43;Confiança;13;10;5;0;5;8;11;-3;
serie_c;1988;24;43;Atlético de Alagoinhas;12;8;3;0;5;7;6;+1;
serie_c;1988;25;43;Esportivo;9;6;3;0;3;6;8;-2;
serie_c;1988;26;43;Tupi;9;6;3;0;3;7;9;-2;
serie_c;1988;27;43;Iguaçu;8;6;3;0;3;8;8;0;
serie_c;1988;28;43;Auto Esporte-PB;8;6;3;0;3;5;9;-4;
serie_c;1988;29;43;XV de Piracicaba;8;6;2;0;4;5;4;+1;
serie_c;1988;30;43;Fabril;7;6;2;0;4;5;7;-2;
serie_c;1988;31;43;Mogi Mirim;7;6;3;0;3;4;7;-3;
serie_c;1988;32;43;Ferroviário;6;6;2;0;4;6;9;-3;
serie_c;1988;33;43;Taguatinga;6;6;2;0;4;3;5;-2;
serie_c;1988;34;43;Mixto;6;6;2;0;4;4;8;-4;
serie_c;1988;35;43;Inter de Santa Maria;6;6;1;0;5;4;4;0;
serie_c;1988;36;43;América de Natal;5;6;2;0;4;7;10;-3;
serie_c;1988;37;43;AA Cabofriense;5;6;1;0;5;4;6;-2;
serie_c;1988;38;43;Alecrim;5;6;1;0;5;2;4;-2;
serie_c;1988;39;43;Douradense;4;4;1;0;3;3;6;-3;
serie_c;1988;40;43;XV de Jaú;4;4;1;0;3;4;5;-1;
serie_c;1988;41;43;Capelense;4;4;1;0;3;1;4;-3;
serie_c;1988;42;43;Colorado;3;6;1;0;5;4;11;-7;
serie_c;1988;43;43;Guarany de Cruz Alta;1;6;0;0;6;5;14;-9;
serie_c;1990;1;30;Atlético Goianiense;16;10;7;2;1;23;6;+17;
serie_c;1990;2;30;América Mineiro;13;10;4;5;1;9;3;+6;
serie_c;1990;3;30;Paraná;10;8;3;4;1;10;4;+6;
serie_c;1990;4;30;América de Natal;10;8;4;2;2;10;10;0;
serie_c;1990;5;30;Paysandu;9;6;4;1;1;7;5;+2;
serie_c;1990;6;30;Gama;8;6;4;0;2;4;5;-1;
serie_c;1990;7;30;Bangu;7;6;1;5;0;4;1;+3;
serie_c;1990;8;30;Fortaleza;7;6;2;3;1;5;3;+2;
serie_c;1990;9;30;Colatina;5;4;1;3;0;4;2;+2;
serie_c;1990;10;30;Noroeste;5;4;2;1;1;6;5;+1;
serie_c;1990;11;30;Estudantes;5;4;2;1;1;4;3;+1;
serie_c;1990;12;30;Maranhão;4;4;1;2;1;5;3;+2;
serie_c;1990;13;30;Vila Nova;4;4;2;0;2;6;6;0;
serie_c;1990;14;30;Esportivo de Passos;4;4;1;2;1;5;5;0;
serie_c;1990;15;30;CSA;4;4;1;2;1;4;4;0;
serie_c;1990;16;30;Ponte Preta;4;4;1;2;1;3;3;0;
serie_c;1990;17;30;América-RJ;4;4;2;0;2;4;5;-1;
serie_c;1990;18;30;Caxias;4;4;2;0;2;5;7;-2;
serie_c;1990;19;30;Fluminense de Feira;3;4;1;1;2;3;4;-1;
serie_c;1990;20;30;Mogi Mirim;3;4;1;1;2;2;3;-1;
serie_c;1990;21;30;Tiradentes-PI;3;4;1;1;2;4;6;-2;
serie_c;1990;22;30;União Bandeirante;3;4;1;1;2;3;5;-2;
serie_c;1990;23;30;Campo Grande;3;4;1;1;2;2;5;-3;
serie_c;1990;24;30;América-PE;2;4;0;2;2;0;2;-2;
serie_c;1990;25;30;Campinense;2;4;0;2;2;2;5;-3;
serie_c;1990;26;30;União Rondonópolis;2;4;1;0;3;2;5;-3;
serie_c;1990;27;30;América-SP;2;4;1;0;3;1;4;-3;
serie_c;1990;28;30;Lagarto;2;4;0;2;2;1;4;-3;
serie_c;1990;29;30;Nacional-AM;0;4;0;0;4;2;9;-7;
serie_c;1990;30;30;Ubiratan;0;4;0;0;4;2;10;-8;
serie_c;1992;1;31;Tuna Luso;22;14;9;4;1;17;6;+11;
serie_c;1992;2;31;Fluminense de Feira;16;12;6;4;2;21;9;+12;
serie_c;1992;3;31;Nacional-AM;16;12;6;4;2;12;4;+8;
serie_c;1992;4;31;Matsubara;13;10;5;3;2;18;12;+6;
serie_c;1992;5;31;Auto Esporte;13;12;5;3;4;13;11;+2;
serie_c;1992;6;31;Operário Ferroviário;10;10;4;2;2;13;8;+5;
serie_c;1992;7;31;Rio Pardo;10;6;3;4;1;7;4;+3;
serie_c;1992;8;31;CRB;10;8;4;2;2;11;7;+4;
serie_c;1992;9;31;Moto Club;10;8;4;2;2;8;6;+2;
serie_c;1992;10;31;Rio Negro-AM;9;8;3;3;2;9;6;+3;
serie_c;1992;11;31;Vitória-PE;9;8;3;3;2;11;10;+1;
serie_c;1992;12;31;Macapá;8;8;1;6;1;7;7;0;
serie_c;1992;13;31;Chapecoense;7;6;3;1;2;9;8;+1;
serie_c;1992;14;31;Grêmio Maringá;7;6;3;1;2;5;5;0;
serie_c;1992;15;31;São Bento;7;6;3;1;2;7;8;-1;
serie_c;1992;16;31;Ferroviário;7;8;3;1;4;12;14;-2;
serie_c;1992;17;31;Atlético Goianiense;7;6;2;3;1;6;3;+3;
serie_c;1992;18;31;Guará;7;6;2;3;1;4;3;+1;
serie_c;1992;19;31;Catuense;7;6;2;3;1;4;4;0;
serie_c;1992;20;31;Atlético Acreano;6;8;1;4;3;4;5;-1;
serie_c;1992;21;31;Sampaio Corrêa;6;8;1;4;3;5;9;-4;
serie_c;1992;22;31;Ji-Paraná;5;8;2;1;5;5;13;-8;
serie_c;1992;23;31;ASA;5;6;1;3;2;4;5;-1;
serie_c;1992;24;31;Izabelense;5;6;1;3;2;11;14;-3;
serie_c;1992;25;31;Flamengo-PI;5;6;1;3;2;11;9;+2;
serie_c;1992;26;31;Marília;4;6;2;0;4;6;8;-2;
serie_c;1992;27;31;Rio Branco-MG;4;6;2;0;4;5;7;-2;
serie_c;1992;28;31;Sergipe;3;6;0;3;3;4;11;-7;
serie_c;1992;29;31;Treze;3;6;0;3;3;8;17;-9;
serie_c;1992;30;31;Tiradentes-DF;2;6;1;0;5;2;9;-7;
serie_c;1992;31;31;Blumenau;1;6;0;1;5;1;9;-8;
serie_c;1994;1;41;Novorizontino;26;16;11;4;1;35;13;+22;
serie_c;1994;2;41;Ferroviária;17;16;6;5;5;16;15;+1;
serie_c;1994;3;41;Uberlândia;21;14;8;5;1;19;10;+9;
serie_c;1994;4;41;Catuense;13;10;6;1;3;17;9;+8;
serie_c;1994;5;41;Ituano;15;12;6;3;3;11;8;+3;
serie_c;1994;6;41;Valerio;13;6;3;7;2;16;14;+2;
serie_c;1994;7;41;ABC;12;10;6;0;4;22;16;+6;
serie_c;1994;8;41;Maruinense;10;12;3;4;5;12;17;-5;
serie_c;1994;9;41;Juventus;15;8;7;1;2;11;10;+1;
serie_c;1994;10;41;Vila Nova;12;10;5;2;3;11;7;+4;
serie_c;1994;11;41;Taguatinga;11;10;4;3;3;11;11;0;
serie_c;1994;12;41;CSA;10;10;5;0;5;17;13;+4;
serie_c;1994;13;41;Esportivo de Passos;9;10;3;3;4;9;10;-1;
serie_c;1994;14;41;Operário-MS;8;10;2;4;4;8;10;-2;
serie_c;1994;15;41;Vitória-PE;8;10;2;4;4;10;13;-3;
serie_c;1994;16;41;Vitória-ES;7;6;2;3;1;3;2;+1;
serie_c;1994;17;41;Itabaiana;9;8;4;1;3;8;10;-2;
serie_c;1994;18;41;Joinville;9;8;3;3;2;9;5;+4;
serie_c;1994;19;41;Matsubara;9;8;4;1;3;14;11;+3;
serie_c;1994;20;41;Santa Cruz-PB;9;8;3;3;2;8;7;+1;
serie_c;1994;21;41;Botafogo-PB;9;6;2;5;1;12;12;0;
serie_c;1994;22;41;União Bandeirante;8;8;3;2;3;10;7;+3;
serie_c;1994;23;41;América-RJ;8;6;3;2;3;9;8;+1;
serie_c;1994;24;41;Villa Nova;8;8;2;4;2;6;6;0;
serie_c;1994;25;41;Figueirense;7;8;3;1;4;8;10;-2;
serie_c;1994;26;41;Caldas;7;8;2;3;3;8;10;-2;
serie_c;1994;27;41;Batel;7;8;2;3;3;4;6;-2;
serie_c;1994;28;41;América de Esperança-PB;6;6;3;0;3;8;11;-3;
serie_c;1994;29;41;Atlético Goianiense;6;8;2;2;4;5;6;-1;
