ano;campeao;vice
1981;Olaria;Santo Amaro
1988;União São João;
1990;Atlético Goianiense;América Mineiro
1992;Tuna Luso;Fluminense de Feira
1996;Vila Nova;Botafogo-SP
1997;Sampaio Corrêa;Juventus-SP
1998;Avaí;São Caetano
1999;Fluminense;São Raimundo-AM
2001;Paulista;Mogi Mirim
2002;Brasiliense;Marília
2003;Ituano;Santo André
2004;União Barbarense;Gama
2005;Remo;América de Natal
2006;Criciúma;Vitória
2007;Bragantino;Bahia
2008;Atlético Goianiense;Guarani
2009;América Mineiro;ASA
2010;ABC;Ituiutaba
2011;Joinville;CRB
2012;Oeste Barueri;Icasa
2013;Santa Cruz;Sampaio Corrêa
2014;Macaé;Paysandu
2015;Vila Nova;Londrina
2016;Boa Esporte;Guarani
2017;CSA;Fortaleza
2018;Operário-PR;Cuiabá
2019;Náutico;Sampaio Corrêa
2020;Vila Nova;Remo
2021;Ituano;Tombense
2022;Mirassol;ABC
2023;Amazonas;Brusque
2024;Volta Redonda;Athletic
2025;Ponte Preta;Londrina
