competicao;ano;mandante;visitante;gols_mandante;gols_visitante;vencedor;perdedor;diff;placar;estadio;data
copa_do_brasil;1991;Atlético Mineiro;Caiçara;11;0;Atlético Mineiro;Caiçara;11;11–0;Independência;28 de fevereiro
copa_do_brasil;2001;São Paulo;Botafogo-PB;10;0;São Paulo;Botafogo-PB;10;10–0;Morumbi;28 de março
copa_do_brasil;2010;Santos;Naviraiense;10;0;Santos;Naviraiense;10;10–0;Vila Belmiro;10 de março
copa_do_brasil;1993;Internacional;Ji-Paraná;9;1;Internacional;Ji-Paraná;8;9–1;Beira-Rio;6 de abril
copa_do_brasil;2021;São Paulo;4 de Julho;9;1;São Paulo;4 de Julho;8;9–1;Morumbi;8 de junho
copa_do_brasil;1995;Flamengo;Kaburé;8;0;Flamengo;Kaburé;8;8–0;Gávea;26 de abril
copa_do_brasil;1996;Sergipe;Palmeiras;0;8;Palmeiras;Sergipe;8;0–8;Batistão;28 de fevereiro
copa_do_brasil;1997;Portuguesa;Kaburé;8;0;Portuguesa;Kaburé;8;8–0;Canindé;4 de março
copa_do_brasil;1998;Vasco da Gama;Picos;8;0;Vasco da Gama;Picos;8;8–0;São Januário;10 de fevereiro
copa_do_brasil;2000;Interporto;Bahia;0;8;Bahia;Interporto;8;0–8;General Sampaio;15 de março
copa_do_brasil;2024;Itabuna;Nova Iguaçu;0;8;Nova Iguaçu;Itabuna;8;0–8;Mário Pessoa;28 de fevereiro
copa_do_brasil;2025;Águia de Marabá;Fluminense;0;8;Fluminense;Águia de Marabá;8;0–8;Mangueirão;26 de fevereiro
copa_do_brasil;2001;Flamengo-PI;Corinthians;1;8;Corinthians;Flamengo-PI;7;1–8;Albertão;2 de maio
copa_do_brasil;2001;Ponte Preta;Castanhal;8;1;Ponte Preta;Castanhal;7;8–1;Moisés Lucarelli;21 de março
copa_do_brasil;2010;Santos;Guarani;8;1;Santos;Guarani;7;8–1;Vila Belmiro;14 de abril
copa_do_brasil;2011;Atlético Mineiro;IAPE;8;1;Atlético Mineiro;IAPE;7;8–1;Arena do Jacaré;2 de março
copa_do_brasil;1989;Atlético Mineiro;América de Natal;7;0;Atlético Mineiro;América de Natal;7;7–0;Independência;22 de julho
copa_do_brasil;1997;Guará;Internacional;0;7;Internacional;Guará;7;0–7;Mané Garrincha;18 de fevereiro
copa_do_brasil;1998;Atlético Mineiro;Alvorada;7;0;Atlético Mineiro;Alvorada;7;7–0;Mineirão;26 de fevereiro
copa_do_brasil;2003;Cruzeiro;Coríntians de Caicó;7;0;Cruzeiro;Coríntians de Caicó;7;7–0;Mineirão;2 de abril
copa_do_brasil;2005;Cruzeiro;Sergipe;7;0;Cruzeiro;Sergipe;7;7–0;Mineirão;16 de fevereiro
copa_do_brasil;2006;Vasco da Gama;Botafogo-PB;7;0;Vasco da Gama;Botafogo-PB;7;7–0;São Januário;22 de fevereiro
copa_do_brasil;2008;Palmas;Atlético Mineiro;0;7;Atlético Mineiro;Palmas;7;0–7;Nilton Santos;27 de fevereiro
copa_do_brasil;2010;Atlético Roraima;Portuguesa;0;7;Portuguesa;Atlético Roraima;7;0–7;Ribeirão;24 de fevereiro
copa_do_brasil;2010;Juventus-AC;Atlético Mineiro;0;7;Atlético Mineiro;Juventus-AC;7;0–7;Arena da Floresta;24 de fevereiro
copa_do_brasil;2010;Goiás;São José-AP;7;0;Goiás;São José-AP;7;7–0;Serrinha;31 de março
copa_do_brasil;2013;Cametá;Atlético Goianiense;0;7;Atlético Goianiense;Cametá;7;0–7;Parque do Bacurau;10 de abril
copa_do_brasil;2023;Flamengo;Maringá;8;2;Flamengo;Maringá;6;8–2;Maracanã;26 de abril
copa_do_brasil;1997;Palmeiras;River-PI;7;1;Palmeiras;River-PI;6;7–1;Palestra Itália;11 de março
copa_do_brasil;1998;Amapá;Cruzeiro;1;7;Cruzeiro;Amapá;6;1–7;Zerão;5 de fevereiro
copa_do_brasil;2008;Atlético Roraima;Náutico;1;7;Náutico;Atlético Roraima;6;1–7;Vivaldão;14 de fevereiro
copa_do_brasil;2019;Altos;Santos;1;7;Santos;Altos;6;1–7;Albertão;6 de fevereiro
copa_do_brasil;2021;Campinense;Bahia;1;7;Bahia;Campinense;6;1–7;Amigão;9 de março
copa_do_brasil;2023;Botafogo;Brasiliense;7;1;Botafogo;Brasiliense;6;7–1;Kleber Andrade;15 de março
