competicao;ano;rank;mandante;visitante;gols_mandante;gols_visitante;vencedor;perdedor;diff;obs
serie_a;1937;1;Fluminense;Atlético MG;6;0;Fluminense;Atlético MG;6;preencher — A ainda sem goleadas no repo
serie_a;1959;1;Sport;Bahia;6;0;Sport;Bahia;6;preencher — A ainda sem goleadas no repo
serie_a;1960;1;Fluminense;Fonseca;8;0;Fluminense;Fonseca;8;preencher — A ainda sem goleadas no repo
serie_a;1961;1;Metropol;Grêmio;1;6;Grêmio;Metropol;5;preencher — A ainda sem goleadas no repo
serie_a;1961;1;Santos;América;6;1;Santos;América;5;preencher — A ainda sem goleadas no repo
serie_a;1962;1;CRB;Campinense;0;6;Campinense;CRB;6;preencher — A ainda sem goleadas no repo
serie_a;1963;1;Santos;Bahia;6;0;Santos;Bahia;6;preencher — A ainda sem goleadas no repo
serie_a;1964;1;Náutico;Paysandu;6;0;Náutico;Paysandu;6;preencher — A ainda sem goleadas no repo
serie_a;1965;1;Grêmio;Palmeiras;5;1;Grêmio;Palmeiras;4;preencher — A ainda sem goleadas no repo
serie_a;1965;1;Santos;Vasco da Gama;5;1;Santos;Vasco da Gama;4;preencher — A ainda sem goleadas no repo
serie_a;1966;1;Paysandu;Rio Negro-AM;6;0;Paysandu;Rio Negro-AM;6;preencher — A ainda sem goleadas no repo
serie_a;1967;1;Grêmio;Perdigão;8;0;Grêmio;Perdigão;8;preencher — A ainda sem goleadas no repo
serie_a;1967;2;Palmeiras;Vasco da Gama;5;0;Palmeiras;Vasco da Gama;5;preencher — A ainda sem goleadas no repo
serie_a;1968;1;Santos;Bahia;9;2;Santos;Bahia;7;preencher — A ainda sem goleadas no repo
serie_a;1968;2;Botafogo;Metropol (SC);6;1;Botafogo;Metropol (SC);5;preencher — A ainda sem goleadas no repo
serie_a;1969;1;Santos;Portuguesa;6;2;Santos;Portuguesa;4;preencher — A ainda sem goleadas no repo
serie_a;1970;1;Cruzeiro;Ponte Preta;6;0;Cruzeiro;Ponte Preta;6;preencher — A ainda sem goleadas no repo
serie_a;1971;1;Cruzeiro;Ceará;6;0;Cruzeiro;Ceará;6;preencher — A ainda sem goleadas no repo
serie_a;1972;1;Náutico;São Paulo;0;6;São Paulo;Náutico;6;preencher — A ainda sem goleadas no repo
serie_a;1972;1;Flamengo;Botafogo;0;6;Botafogo;Flamengo;6;preencher — A ainda sem goleadas no repo
serie_a;1973;1;América de Natal;Santos;1;6;Santos;América de Natal;5;preencher — A ainda sem goleadas no repo
serie_a;1973;2;Cruzeiro;Vitória;6;1;Cruzeiro;Vitória;5;preencher — A ainda sem goleadas no repo
serie_a;1973;2;Botafogo;Fortaleza;6;1;Botafogo;Fortaleza;5;preencher — A ainda sem goleadas no repo
serie_a;1973;3;Rio Negro-AM;Sergipe;5;0;Rio Negro-AM;Sergipe;5;preencher — A ainda sem goleadas no repo
serie_a;1973;3;Remo;Moto Clube;5;0;Remo;Moto Clube;5;preencher — A ainda sem goleadas no repo
serie_a;1974;1;Flamengo;Paysandu;6;0;Flamengo;Paysandu;6;preencher — A ainda sem goleadas no repo
serie_a;1975;1;Vitória;Internacional;0;5;Internacional;Vitória;5;preencher — A ainda sem goleadas no repo
serie_a;1976;1;Flamengo;Sampaio Corrêa;8;1;Flamengo;Sampaio Corrêa;7;preencher — A ainda sem goleadas no repo
serie_a;1977;1;Bahia;Vitória-ES;7;0;Bahia;Vitória-ES;7;preencher — A ainda sem goleadas no repo
serie_a;1978;1;Guarani;Itabuna;7;0;Guarani;Itabuna;7;preencher — A ainda sem goleadas no repo
serie_a;1979;1;Fluminense;Maranhão;6;0;Fluminense;Maranhão;6;preencher — A ainda sem goleadas no repo
serie_a;1980;1;Vitória;América-RN;8;1;Vitória;América-RN;7;preencher — A ainda sem goleadas no repo
serie_a;1981;1;Flamengo;Fortaleza;8;0;Flamengo;Fortaleza;8;preencher — A ainda sem goleadas no repo
serie_a;1982;1;Guarani;River-PI;8;0;Guarani;River-PI;8;preencher — A ainda sem goleadas no repo
serie_a;1983;1;Corinthians;Tiradentes;10;1;Corinthians;Tiradentes;9;preencher — A ainda sem goleadas no repo
serie_a;1984;1;Vasco;Tuna Luso;9;0;Vasco;Tuna Luso;9;preencher — A ainda sem goleadas no repo
serie_a;1985;1;Flamengo;Santa Cruz;7;0;Flamengo;Santa Cruz;7;preencher — A ainda sem goleadas no repo
serie_a;1986;1;Guarani;Piauí;8;2;Guarani;Piauí;6;preencher — A ainda sem goleadas no repo
serie_a;1987;1;Atlético-MG;Santos;5;1;Atlético-MG;Santos;4;preencher — A ainda sem goleadas no repo
serie_a;1988;1;Goiás;Vitória;6;1;Goiás;Vitória;5;preencher — A ainda sem goleadas no repo
serie_a;1989;1;Flamengo;Fluminense;5;0;Flamengo;Fluminense;5;preencher — A ainda sem goleadas no repo
serie_a;1990;1;Grêmio;Náutico;5;0;Grêmio;Náutico;5;preencher — A ainda sem goleadas no repo
serie_a;1991;1;Goiás;Flamengo;5;1;Goiás;Flamengo;4;preencher — A ainda sem goleadas no repo
serie_a;1991;1;Cruzeiro;Sport;5;1;Cruzeiro;Sport;4;preencher — A ainda sem goleadas no repo
serie_a;1992;1;Botafogo;Goiás;6;0;Botafogo;Goiás;6;preencher — A ainda sem goleadas no repo
serie_a;1993;1;Guarani;Remo;8;2;Guarani;Remo;6;preencher — A ainda sem goleadas no repo
serie_a;1994;1;Atlético-MG;Remo;6;0;Atlético-MG;Remo;6;preencher — A ainda sem goleadas no repo
serie_a;1995;1;Vasco;Paysandu;6;1;Vasco;Paysandu;5;preencher — A ainda sem goleadas no repo
serie_a;1996;1;Sport;Fluminense;6;0;Sport;Fluminense;6;preencher — A ainda sem goleadas no repo
serie_a;1997;1;Internacional;Bragantino;7;0;Internacional;Bragantino;7;preencher — A ainda sem goleadas no repo
serie_a;1998;1;São Paulo;Portuguesa;2;7;Portuguesa;São Paulo;5;preencher — A ainda sem goleadas no repo
serie_a;1999;1;Palmeiras;Grêmio;6;0;Palmeiras;Grêmio;6;preencher — A ainda sem goleadas no repo
